State,Year,State Name,legalWeedStatus,yearly_deaths,yearly_OD_deaths,%OD Deaths,"Deaths  per 100,000 population"
NC,2016.0,North Carolina,Fully Illegal,1082087.0,21361.0,0.01974055690531353,15.2
NC,2017.0,North Carolina,Fully Illegal,1115542.0,26214.0,0.023498891121983754,14.8
ND,2015.0,North Dakota,Mixed,83522.0,799.0,0.00956634180215991,18.1
ND,2016.0,North Dakota,Mixed,80487.0,828.0,0.010287375601028737,16.6
ND,2017.0,North Dakota,Mixed,83842.0,950.0,0.01133083657355502,15.6
NE,2015.0,Nebraska,Fully Illegal,201792.0,1547.0,0.007666309863621947,14.1
NE,2016.0,Nebraska,Fully Illegal,196435.0,1425.0,0.0072543080408277545,11.3
NE,2017.0,Nebraska,Fully Illegal,203750.0,1512.0,0.007420858895705522,13.5
NH,2015.0,New Hampshire,Mixed,139941.0,4896.0,0.034986172744227925,8.0
NH,2016.0,New Hampshire,Mixed,139496.0,5256.0,0.037678499741928086,9.9
NH,2017.0,New Hampshire,Mixed,145970.0,5524.0,0.03784339247790642,8.0
NJ,2015.0,New Jersey,Mixed,857584.0,15849.0,0.018480988451277075,6.6
NJ,2016.0,New Jersey,Mixed,846797.0,20055.0,0.02368336212811335,7.0
NJ,2017.0,New Jersey,Mixed,883650.0,28586.0,0.03234991229559215,7.2
NM,2015.0,New Mexico,Mixed,204766.0,6291.0,0.030722873914614732,16.4
NM,2016.0,New Mexico,Mixed,209960.0,5881.0,0.02801009716136407,20.0
NM,2017.0,New Mexico,Mixed,214756.0,6036.0,0.028106316005140717,19.1
NV,2015.0,Nevada,Fully Legal,277736.0,7342.0,0.02643517585044791,12.6
NV,2016.0,Nevada,Fully Legal,291104.0,8457.0,0.029051473013081235,12.2
NV,2017.0,Nevada,Fully Legal,303210.0,8748.0,0.028851291184327693,11.8
NY,2015.0,New York,Mixed,1181726.0,19990.0,0.016915934827531932,6.0
NY,2016.0,New York,Mixed,1169431.0,24820.0,0.021223996969466346,5.8
NY,2017.0,New York,Mixed,1193600.0,28892.0,0.024205764075067023,5.8
OH,2015.0,Ohio,Mixed,1416465.0,36893.0,0.026045825346902324,10.8
OH,2016.0,Ohio,Mixed,1415504.0,45503.0,0.03214614723801558,11.4
OH,2017.0,Ohio,Mixed,1468788.0,60794.0,0.04139058870306675,11.3
OK,2015.0,Oklahoma,Mixed,457525.0,8944.0,0.019548658543249,17.2
OK,2016.0,Oklahoma,Mixed,455459.0,8913.0,0.01956926968179353,18.4
OK,2017.0,Oklahoma,Mixed,466564.0,9867.0,0.021148224037859757,18.4
OR,2015.0,Oregon,Fully Legal,422629.0,6129.0,0.014502081021415947,12.4
OR,2016.0,Oregon,Fully Legal,426884.0,6002.0,0.014060025674422091,12.8
OR,2017.0,Oregon,Fully Legal,441385.0,6199.0,0.014044428333541014,12.3
PA,2015.0,Pennsylvania,Mixed,1605327.0,36077.0,0.02247330294700083,10.1
PA,2016.0,Pennsylvania,Mixed,1586270.0,45980.0,0.0289862381561777,10.0
PA,2017.0,Pennsylvania,Mixed,1641025.0,64683.0,0.03941621852196036,9.9
RI,2015.0,Rhode Island,Mixed,123866.0,3517.0,0.028393586617796653,5.2
RI,2016.0,Rhode Island,Mixed,120927.0,3978.0,0.032895879332159074,5.5
RI,2017.0,Rhode Island,Mixed,123470.0,3986.0,0.03228314570340973,9.9
SC,2015.0,South Carolina,Fully Illegal,551089.0,8692.0,0.015772406997780757,20.1
SC,2016.0,South Carolina,Fully Illegal,558101.0,9569.0,0.01714564209703978,21.6
SC,2017.0,South Carolina,Fully Illegal,572389.0,11678.0,0.020402208987244687,21.1
SD,2015.0,South Dakota,Fully Illegal,93947.0,727.0,0.0077384056968290635,16.7
SD,2016.0,South Dakota,Fully Illegal,94162.0,809.0,0.008591576219706463,15.8
SD,2017.0,South Dakota,Fully Illegal,97901.0,891.0,0.009101030632986385,19.0
TN,2015.0,Tennessee,Fully Illegal,838607.0,16367.0,0.019516889317642235,15.0
TN,2016.0,Tennessee,Fully Illegal,845502.0,18632.0,0.022036612568627868,16.5
TN,2017.0,Tennessee,Fully Illegal,872556.0,20761.0,0.023793315271455357,16.2
TX,2015.0,Texas,Mixed,2289797.0,30794.0,0.013448353718692093,13.5
TX,2016.0,Texas,Mixed,2308662.0,32557.0,0.014102107627708171,14.4
TX,2017.0,Texas,Mixed,2369974.0,34262.0,0.014456698681082578,13.8
UT,2015.0,Utah,Mixed,212365.0,7433.0,0.035001059496621384,9.4
UT,2016.0,Utah,Mixed,219344.0,8333.0,0.03799055365088628,9.3
UT,2017.0,Utah,Mixed,222049.0,7485.0,0.03370877599088489,9.5
VA,2015.0,Virginia,Mixed,774031.0,11819.0,0.015269414274105301,9.4
VA,2016.0,Virginia,Mixed,775307.0,14327.0,0.01847913149242816,9.9
VA,2017.0,Virginia,Mixed,802829.0,17070.0,0.021262311152188074,10.6
VT,2015.0,Vermont,Fully Legal,68864.0,1094.0,0.015886384758364312,8.6
VT,2016.0,Vermont,Fully Legal,68688.0,1363.0,0.019843349638947124,10.7
VT,2017.0,Vermont,Fully Legal,69528.0,1633.0,0.02348694051317455,13.0
WA,2015.0,Washington,Fully Legal,643835.0,12643.0,0.01963701880140098,8.9
WA,2016.0,Washington,Fully Legal,656102.0,13830.0,0.021079039539583785,8.5
WA,2017.0,Washington,Fully Legal,676325.0,13223.0,0.019551251247551103,9.0
WI,2015.0,Wisconsin,Fully Illegal,614301.0,10378.0,0.01689399821911408,10.6
WI,2016.0,Wisconsin,Fully Illegal,612995.0,11926.0,0.019455297351528154,11.3
WI,2017.0,Wisconsin,Fully Illegal,626083.0,13577.0,0.021685623152201863,11.3
WV,2015.0,West Virginia,Mixed,265538.0,8230.0,0.030993680753790418,16.5
WV,2016.0,West Virginia,Mixed,262060.0,9617.0,0.036697702816148974,16.3
WV,2017.0,West Virginia,Mixed,268237.0,11836.0,0.04412515797596901,18.6
WY,2015.0,Wyoming,Fully Illegal,53812.0,1229.0,0.022838772021110534,22.9
WY,2016.0,Wyoming,Fully Illegal,52723.0,1138.0,0.02158450771010754,18.1
WY,2017.0,Wyoming,Fully Illegal,52181.0,871.0,0.016691899350338244,19.0
